Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
p3_meta_5_1	ARGannot_r3_db	AmpC2_Ecoli_Bla	AmpC2_346	100.0	481.081	25snp		2.205	1134	0.008	99	346	no;no;AmpC2;Bla;CP002970;332756-333889;1134
p3_meta_5_1	ARGannot_r3_db	TetM_Tet	TetM_831	100.0	8.265	21snp	edge2.0	1.094	1920	0.5	13	831	no;no;TetM;Tet;U08812;1981-3900;1920
p3_meta_5_1	ARGannot_r3_db	MrdA_Bla	MrdA_836	100.0	400.485	25snp		1.314	1902	0.109	16	836	no;no;MrdA;Bla;CP002291;666340-664439;1902
p3_meta_5_1	ARGannot_r3_db	StrA_AGly	StrA_1501	100.0	866.398	1snp		0.124	804	0.23	263	1501	no;no;StrA;AGly;AJ627643;3725-4528;804
p3_meta_5_1	ARGannot_r3_db	MsrC_MLS	MsrC_304	100.0	5.654	15snp		1.014	1479	0.25	36	304	no;no;MsrC;MLS;AY004350;496-1974;1479
p3_meta_5_1	ARGannot_r3_db	TetA_Tet	TetA_1545	100.0	824.886			0.0	1275	0.023	52	1545	no;no;TetA;Tet;NC_010410;3643133-3641859;1275
p3_meta_5_1	ARGannot_r3_db	Qnr-S_Flq	Qnr-S1_1455	100.0	244.383			0.0	657	0.013	357	1455	no;no;Qnr-S1;Flq;HF545434;62361-63017;657
p3_meta_5_1	ARGannot_r3_db	AMPH_Ecoli_Bla	AMPH_615	99.827	394.686	32snp2indel		2.763	1158	0.072	89	615	no;no;AMPH;Bla;AP012030;395554-396711;1158
p3_meta_5_1	ARGannot_r3_db	DfrA_Tmt	DfrA12_1089	100.0	245.547			0.0	498	0.009	418	1089	no;no;DfrA12;Tmt;Z21672;310-807;498
p3_meta_5_1	ARGannot_r3_db	DfrA7_Tmt	DfrA17_316	100.0	910.653			0.0	474	0.004	433	316	no;no;DfrA17;Tmt;KR091911;9884-9411;474
